#,INEP,ESCOLA,MUNICÍPIO,LOGRADOURO,CEP,Velocidade Link
83,25020900,EEEFM ANTONIA ARAUJO,Patos,"RUA PROJETADA, SN - BIVAR OLINTO",58701600,200Mbits
84,25042351,ECI ANTONIO COELHO DANTAS,Nova Palmeira,"RUA JORGE MENDONCA, 200 - CENTRO",58184000,200Mbits
85,25046950,ECI FRANCISCO DE ASSIS GONZAGA,Prata,"AV ANANIANO RAMOS GALVAO, 196 - CENTRO",58550000,200Mbits
86,25056581,ECI EEFM JOSE VITORINO DE MEDEIROS,Sossêgo,"RUA ELIEZER FRANCISCO DOS SANTOS, 1447 - CENTRO",58177000,200Mbits
87,25065726,ECI EEFM ANTONIETA CORREIA DE MENEZES,Pilões,"RUA LUIZ GREGORIO DA SILVA, - CENTRO",58393000,200Mbits
88,25080849,ECITE LUIS GONZAGA BURITY,Ingá,"RUA DUQUE DE CAXIAS, 54 - BOA ESPERANCA",58380000,200Mbits
89,25081411,EEEF PROF ODETE MENDES N OLIVEIRA,Itabaiana,"SITIO CAMPO GRANDE, 51 - CAMPO GRANDE",58360000,200Mbits
90,25123998,ESCOLA WALNYZA BORBOREMA CUNHA,Campina Grande,"SITIO ESTREITO, SN - ZONA RURAL",58449000,200Mbits
91,25124277,ECIT SEVERINO DIAS DE OLIVEIRA MESTRE SIVUCA,João Pessoa,"R FLOR DE IRIS, 85 - MANGABEIRA VIII",58059744,200Mbits
92,25015320,ECIT FRANCISCO DE SA CAVALCANTE,Paulista,"RUA BELARMINO FERNANDES DE FRANCA, SN - CENTRO",58860000,200Mbits
93,25037137,EEEFM DEP NOMINANDO MUNIZ DINIZ,São José de Princesa,"RUA DA BOA VISTA, SN - CENTRO",58758000,200Mbits
94,25054023,ECI PROFESSORA NEIR ALVES PORTO,Santo André,"RUA EULALIA PORTO DE MEDEIROS, SN - CENTRO",58675000,200Mbits
